degree_age_range,state,degree,age_range,estimate,margin_of_error
25_to_39_years_Multidisciplinary_Studies,Louisiana,Multidisciplinary_Studies,25_to_39_years,42809,11825
25_to_39_years_Science_and_Engineering_Related_Fields,Louisiana,Science_and_Engineering_Related_Fields,25_to_39_years,60657,3551
25_to_39_years_Business,Louisiana,Business,25_to_39_years,58232,7137
25_to_39_years_Education,Louisiana,Education,25_to_39_years,47117,1978
25_to_39_years_Literature_and_Languages,Louisiana,Literature_and_Languages,25_to_39_years,46222,4248
25_to_39_years_Liberal_Arts_and_History,Louisiana,Liberal_Arts_and_History,25_to_39_years,50140,6087
25_to_39_years_Visual_and_Performing_Arts,Louisiana,Visual_and_Performing_Arts,25_to_39_years,36338,12339
25_to_39_years_Communications,Louisiana,Communications,25_to_39_years,48154,5585
25_to_39_years_Other,Louisiana,Other,25_to_39_years,51933,2970
40_to_64_years_40_to_64_years,Louisiana,40_to_64_years,40_to_64_years,67398,2096
40_to_64_years_Computers_Mathematics_and_Statistics,Louisiana,Computers_Mathematics_and_Statistics,40_to_64_years,90277,11044
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Louisiana,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,83177,6535
40_to_64_years_Physical_and_Related_Sciences,Louisiana,Physical_and_Related_Sciences,40_to_64_years,86288,12672
40_to_64_years_Psychology,Louisiana,Psychology,40_to_64_years,58695,7963
40_to_64_years_Social_Sciences,Louisiana,Social_Sciences,40_to_64_years,67621,5156
40_to_64_years_Engineering,Louisiana,Engineering,40_to_64_years,105395,6338
40_to_64_years_Multidisciplinary_Studies,Louisiana,Multidisciplinary_Studies,40_to_64_years,44074,20900
40_to_64_years_Science_and_Engineering_Related_Fields,Louisiana,Science_and_Engineering_Related_Fields,40_to_64_years,74605,4259
40_to_64_years_Business,Louisiana,Business,40_to_64_years,75110,3606
40_to_64_years_Education,Louisiana,Education,40_to_64_years,53817,1306
40_to_64_years_Literature_and_Languages,Louisiana,Literature_and_Languages,40_to_64_years,59636,7052
40_to_64_years_Liberal_Arts_and_History,Louisiana,Liberal_Arts_and_History,40_to_64_years,55236,4082
40_to_64_years_Visual_and_Performing_Arts,Louisiana,Visual_and_Performing_Arts,40_to_64_years,54664,8686
40_to_64_years_Communications,Louisiana,Communications,40_to_64_years,73066,8974
40_to_64_years_Other,Louisiana,Other,40_to_64_years,60275,12114
Total,Maine,Total,Total,62421,1260
25_to_39_years_25_to_39_years,Maine,25_to_39_years,25_to_39_years,56454,2138
25_to_39_years_Computers_Mathematics_and_Statistics,Maine,Computers_Mathematics_and_Statistics,25_to_39_years,64153,27139
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Maine,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,51597,8787
25_to_39_years_Physical_and_Related_Sciences,Maine,Physical_and_Related_Sciences,25_to_39_years,87790,34430
25_to_39_years_Psychology,Maine,Psychology,25_to_39_years,50610,5464
25_to_39_years_Social_Sciences,Maine,Social_Sciences,25_to_39_years,56799,4073
25_to_39_years_Engineering,Maine,Engineering,25_to_39_years,93338,7160
25_to_39_years_Multidisciplinary_Studies,Maine,Multidisciplinary_Studies,25_to_39_years,43917,14591
25_to_39_years_Science_and_Engineering_Related_Fields,Maine,Science_and_Engineering_Related_Fields,25_to_39_years,62387,6077
25_to_39_years_Business,Maine,Business,25_to_39_years,67591,4788
25_to_39_years_Education,Maine,Education,25_to_39_years,47760,5652
25_to_39_years_Literature_and_Languages,Maine,Literature_and_Languages,25_to_39_years,46879,6750
25_to_39_years_Liberal_Arts_and_History,Maine,Liberal_Arts_and_History,25_to_39_years,53243,10456
25_to_39_years_Visual_and_Performing_Arts,Maine,Visual_and_Performing_Arts,25_to_39_years,38954,8118
25_to_39_years_Communications,Maine,Communications,25_to_39_years,58400,15772
25_to_39_years_Other,Maine,Other,25_to_39_years,62869,11130
40_to_64_years_40_to_64_years,Maine,40_to_64_years,40_to_64_years,66227,2883
40_to_64_years_Computers_Mathematics_and_Statistics,Maine,Computers_Mathematics_and_Statistics,40_to_64_years,85748,14087
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Maine,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,65631,14903
40_to_64_years_Physical_and_Related_Sciences,Maine,Physical_and_Related_Sciences,40_to_64_years,75067,12268
40_to_64_years_Psychology,Maine,Psychology,40_to_64_years,61999,6086
40_to_64_years_Social_Sciences,Maine,Social_Sciences,40_to_64_years,55675,9079
40_to_64_years_Engineering,Maine,Engineering,40_to_64_years,101855,8869
40_to_64_years_Multidisciplinary_Studies,Maine,Multidisciplinary_Studies,40_to_64_years,49274,47891
40_to_64_years_Science_and_Engineering_Related_Fields,Maine,Science_and_Engineering_Related_Fields,40_to_64_years,71877,5944
40_to_64_years_Business,Maine,Business,40_to_64_years,79065,7480
40_to_64_years_Education,Maine,Education,40_to_64_years,58562,4970
40_to_64_years_Literature_and_Languages,Maine,Literature_and_Languages,40_to_64_years,63961,9424
40_to_64_years_Liberal_Arts_and_History,Maine,Liberal_Arts_and_History,40_to_64_years,70960,11066
40_to_64_years_Visual_and_Performing_Arts,Maine,Visual_and_Performing_Arts,40_to_64_years,58977,10588
40_to_64_years_Communications,Maine,Communications,40_to_64_years,57481,9706
40_to_64_years_Other,Maine,Other,40_to_64_years,59031,7894
Total,Maryland,Total,Total,87689,1571
25_to_39_years_25_to_39_years,Maryland,25_to_39_years,25_to_39_years,72181,1224
25_to_39_years_Computers_Mathematics_and_Statistics,Maryland,Computers_Mathematics_and_Statistics,25_to_39_years,85129,5714
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Maryland,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,67249,3655
25_to_39_years_Physical_and_Related_Sciences,Maryland,Physical_and_Related_Sciences,25_to_39_years,72592,7180
25_to_39_years_Psychology,Maryland,Psychology,25_to_39_years,60405,4739
25_to_39_years_Social_Sciences,Maryland,Social_Sciences,25_to_39_years,80178,4144
25_to_39_years_Engineering,Maryland,Engineering,25_to_39_years,96416,4393
25_to_39_years_Multidisciplinary_Studies,Maryland,Multidisciplinary_Studies,25_to_39_years,65970,11350
25_to_39_years_Science_and_Engineering_Related_Fields,Maryland,Science_and_Engineering_Related_Fields,25_to_39_years,73074,2732
25_to_39_years_Business,Maryland,Business,25_to_39_years,78674,4334
25_to_39_years_Education,Maryland,Education,25_to_39_years,60542,1825
25_to_39_years_Literature_and_Languages,Maryland,Literature_and_Languages,25_to_39_years,59133,10670
25_to_39_years_Liberal_Arts_and_History,Maryland,Liberal_Arts_and_History,25_to_39_years,62189,2790
25_to_39_years_Visual_and_Performing_Arts,Maryland,Visual_and_Performing_Arts,25_to_39_years,51297,3634
25_to_39_years_Communications,Maryland,Communications,25_to_39_years,61665,4319
25_to_39_years_Other,Maryland,Other,25_to_39_years,66214,3861
40_to_64_years_40_to_64_years,Maryland,40_to_64_years,40_to_64_years,101819,990
40_to_64_years_Computers_Mathematics_and_Statistics,Maryland,Computers_Mathematics_and_Statistics,40_to_64_years,124967,5203
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Maryland,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,110220,10201
40_to_64_years_Physical_and_Related_Sciences,Maryland,Physical_and_Related_Sciences,40_to_64_years,125969,7083
40_to_64_years_Psychology,Maryland,Psychology,40_to_64_years,87979,8901
40_to_64_years_Social_Sciences,Maryland,Social_Sciences,40_to_64_years,110097,5702
40_to_64_years_Engineering,Maryland,Engineering,40_to_64_years,135478,6368
40_to_64_years_Multidisciplinary_Studies,Maryland,Multidisciplinary_Studies,40_to_64_years,87806,15031
40_to_64_years_Science_and_Engineering_Related_Fields,Maryland,Science_and_Engineering_Related_Fields,40_to_64_years,93296,3677
40_to_64_years_Business,Maryland,Business,40_to_64_years,102040,3040
40_to_64_years_Education,Maryland,Education,40_to_64_years,77593,3532
40_to_64_years_Literature_and_Languages,Maryland,Literature_and_Languages,40_to_64_years,95516,6496
40_to_64_years_Liberal_Arts_and_History,Maryland,Liberal_Arts_and_History,40_to_64_years,88827,10047
40_to_64_years_Visual_and_Performing_Arts,Maryland,Visual_and_Performing_Arts,40_to_64_years,69735,10570
40_to_64_years_Communications,Maryland,Communications,40_to_64_years,87557,8433
40_to_64_years_Other,Maryland,Other,40_to_64_years,96267,6249
Total,Massachusetts,Total,Total,87001,747
25_to_39_years_25_to_39_years,Massachusetts,25_to_39_years,25_to_39_years,75800,901
25_to_39_years_Computers_Mathematics_and_Statistics,Massachusetts,Computers_Mathematics_and_Statistics,25_to_39_years,100156,8413
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Massachusetts,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,76357,2180
25_to_39_years_Physical_and_Related_Sciences,Massachusetts,Physical_and_Related_Sciences,25_to_39_years,69627,9616
25_to_39_years_Psychology,Massachusetts,Psychology,25_to_39_years,64147,3538
25_to_39_years_Social_Sciences,Massachusetts,Social_Sciences,25_to_39_years,81430,3144
25_to_39_years_Engineering,Massachusetts,Engineering,25_to_39_years,98299,3915
25_to_39_years_Multidisciplinary_Studies,Massachusetts,Multidisciplinary_Studies,25_to_39_years,77851,21451
25_to_39_years_Science_and_Engineering_Related_Fields,Massachusetts,Science_and_Engineering_Related_Fields,25_to_39_years,75402,2161
25_to_39_years_Business,Massachusetts,Business,25_to_39_years,84761,3089
25_to_39_years_Education,Massachusetts,Education,25_to_39_years,60697,3047
25_to_39_years_Literature_and_Languages,Massachusetts,Literature_and_Languages,25_to_39_years,64663,5579
25_to_39_years_Liberal_Arts_and_History,Massachusetts,Liberal_Arts_and_History,25_to_39_years,64560,5063
25_to_39_years_Visual_and_Performing_Arts,Massachusetts,Visual_and_Performing_Arts,25_to_39_years,52646,2967
25_to_39_years_Communications,Massachusetts,Communications,25_to_39_years,74744,3212
25_to_39_years_Other,Massachusetts,Other,25_to_39_years,63067,2349
40_to_64_years_40_to_64_years,Massachusetts,40_to_64_years,40_to_64_years,100205,1230
40_to_64_years_Computers_Mathematics_and_Statistics,Massachusetts,Computers_Mathematics_and_Statistics,40_to_64_years,128788,6162
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Massachusetts,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,107201,13577
40_to_64_years_Physical_and_Related_Sciences,Massachusetts,Physical_and_Related_Sciences,40_to_64_years,122084,7524
40_to_64_years_Psychology,Massachusetts,Psychology,40_to_64_years,84328,4001
40_to_64_years_Social_Sciences,Massachusetts,Social_Sciences,40_to_64_years,104545,3489
40_to_64_years_Engineering,Massachusetts,Engineering,40_to_64_years,143339,5963
40_to_64_years_Multidisciplinary_Studies,Massachusetts,Multidisciplinary_Studies,40_to_64_years,84727,13631
40_to_64_years_Science_and_Engineering_Related_Fields,Massachusetts,Science_and_Engineering_Related_Fields,40_to_64_years,101842,2884
40_to_64_years_Business,Massachusetts,Business,40_to_64_years,101437,2948
40_to_64_years_Education,Massachusetts,Education,40_to_64_years,80430,2537
40_to_64_years_Literature_and_Languages,Massachusetts,Literature_and_Languages,40_to_64_years,87017,4314
40_to_64_years_Liberal_Arts_and_History,Massachusetts,Liberal_Arts_and_History,40_to_64_years,84854,6342
40_to_64_years_Visual_and_Performing_Arts,Massachusetts,Visual_and_Performing_Arts,40_to_64_years,73216,4164
40_to_64_years_Communications,Massachusetts,Communications,40_to_64_years,87497,4947
40_to_64_years_Other,Massachusetts,Other,40_to_64_years,89582,6476
Total,Michigan,Total,Total,71444,641
25_to_39_years_25_to_39_years,Michigan,25_to_39_years,25_to_39_years,61430,641
25_to_39_years_Computers_Mathematics_and_Statistics,Michigan,Computers_Mathematics_and_Statistics,25_to_39_years,77405,7417
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Michigan,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,60900,2132
25_to_39_years_Physical_and_Related_Sciences,Michigan,Physical_and_Related_Sciences,25_to_39_years,61545,5219
25_to_39_years_Psychology,Michigan,Psychology,25_to_39_years,50123,3769
25_to_39_years_Social_Sciences,Michigan,Social_Sciences,25_to_39_years,61711,4152
25_to_39_years_Engineering,Michigan,Engineering,25_to_39_years,90211,4213
25_to_39_years_Multidisciplinary_Studies,Michigan,Multidisciplinary_Studies,25_to_39_years,55332,10301
25_to_39_years_Science_and_Engineering_Related_Fields,Michigan,Science_and_Engineering_Related_Fields,25_to_39_years,65596,2146
25_to_39_years_Business,Michigan,Business,25_to_39_years,64319,1832
25_to_39_years_Education,Michigan,Education,25_to_39_years,49551,1605
25_to_39_years_Literature_and_Languages,Michigan,Literature_and_Languages,25_to_39_years,51872,5013
25_to_39_years_Liberal_Arts_and_History,Michigan,Liberal_Arts_and_History,25_to_39_years,50546,1968
25_to_39_years_Visual_and_Performing_Arts,Michigan,Visual_and_Performing_Arts,25_to_39_years,44026,3899
25_to_39_years_Communications,Michigan,Communications,25_to_39_years,55886,4508
25_to_39_years_Other,Michigan,Other,25_to_39_years,55083,2858
40_to_64_years_40_to_64_years,Michigan,40_to_64_years,40_to_64_years,81256,713
40_to_64_years_Computers_Mathematics_and_Statistics,Michigan,Computers_Mathematics_and_Statistics,40_to_64_years,97391,4743
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Michigan,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,89329,4685
40_to_64_years_Physical_and_Related_Sciences,Michigan,Physical_and_Related_Sciences,40_to_64_years,85703,8509
40_to_64_years_Psychology,Michigan,Psychology,40_to_64_years,68627,5235
40_to_64_years_Social_Sciences,Michigan,Social_Sciences,40_to_64_years,86156,6927
40_to_64_years_Engineering,Michigan,Engineering,40_to_64_years,127751,3115
40_to_64_years_Multidisciplinary_Studies,Michigan,Multidisciplinary_Studies,40_to_64_years,74090,14250
40_to_64_years_Science_and_Engineering_Related_Fields,Michigan,Science_and_Engineering_Related_Fields,40_to_64_years,81274,2193
40_to_64_years_Business,Michigan,Business,40_to_64_years,84552,2158
40_to_64_years_Education,Michigan,Education,40_to_64_years,65427,1909
40_to_64_years_Literature_and_Languages,Michigan,Literature_and_Languages,40_to_64_years,59509,6902
40_to_64_years_Liberal_Arts_and_History,Michigan,Liberal_Arts_and_History,40_to_64_years,63296,2231
40_to_64_years_Visual_and_Performing_Arts,Michigan,Visual_and_Performing_Arts,40_to_64_years,60078,4728
40_to_64_years_Communications,Michigan,Communications,40_to_64_years,74638,6561
40_to_64_years_Other,Michigan,Other,40_to_64_years,65294,3780
Total,Minnesota,Total,Total,75342,771
25_to_39_years_25_to_39_years,Minnesota,25_to_39_years,25_to_39_years,65715,1273
25_to_39_years_Computers_Mathematics_and_Statistics,Minnesota,Computers_Mathematics_and_Statistics,25_to_39_years,79535,8849
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Minnesota,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,65498,2064
25_to_39_years_Physical_and_Related_Sciences,Minnesota,Physical_and_Related_Sciences,25_to_39_years,69498,7365
25_to_39_years_Psychology,Minnesota,Psychology,25_to_39_years,58206,4243
25_to_39_years_Social_Sciences,Minnesota,Social_Sciences,25_to_39_years,67990,4168
25_to_39_years_Engineering,Minnesota,Engineering,25_to_39_years,90099,3576
25_to_39_years_Multidisciplinary_Studies,Minnesota,Multidisciplinary_Studies,25_to_39_years,55623,11215
25_to_39_years_Science_and_Engineering_Related_Fields,Minnesota,Science_and_Engineering_Related_Fields,25_to_39_years,69402,2417
25_to_39_years_Business,Minnesota,Business,25_to_39_years,74693,2013
25_to_39_years_Education,Minnesota,Education,25_to_39_years,51250,1343
25_to_39_years_Literature_and_Languages,Minnesota,Literature_and_Languages,25_to_39_years,54930,3399
25_to_39_years_Liberal_Arts_and_History,Minnesota,Liberal_Arts_and_History,25_to_39_years,53142,4431
25_to_39_years_Visual_and_Performing_Arts,Minnesota,Visual_and_Performing_Arts,25_to_39_years,50376,3379
25_to_39_years_Communications,Minnesota,Communications,25_to_39_years,61440,4577
25_to_39_years_Other,Minnesota,Other,25_to_39_years,59109,2812
40_to_64_years_40_to_64_years,Minnesota,40_to_64_years,40_to_64_years,85324,1023
40_to_64_years_Computers_Mathematics_and_Statistics,Minnesota,Computers_Mathematics_and_Statistics,40_to_64_years,119753,6943
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Minnesota,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,89263,6350
40_to_64_years_Physical_and_Related_Sciences,Minnesota,Physical_and_Related_Sciences,40_to_64_years,123242,23666
40_to_64_years_Psychology,Minnesota,Psychology,40_to_64_years,86142,3986
40_to_64_years_Social_Sciences,Minnesota,Social_Sciences,40_to_64_years,87015,5079
40_to_64_years_Engineering,Minnesota,Engineering,40_to_64_years,123654,5957
40_to_64_years_Multidisciplinary_Studies,Minnesota,Multidisciplinary_Studies,40_to_64_years,80229,16362
40_to_64_years_Science_and_Engineering_Related_Fields,Minnesota,Science_and_Engineering_Related_Fields,40_to_64_years,83278,1913
40_to_64_years_Business,Minnesota,Business,40_to_64_years,97716,4867
40_to_64_years_Education,Minnesota,Education,40_to_64_years,66150,2744
40_to_64_years_Literature_and_Languages,Minnesota,Literature_and_Languages,40_to_64_years,69758,4736
40_to_64_years_Liberal_Arts_and_History,Minnesota,Liberal_Arts_and_History,40_to_64_years,71560,3834
40_to_64_years_Visual_and_Performing_Arts,Minnesota,Visual_and_Performing_Arts,40_to_64_years,61980,3368
40_to_64_years_Communications,Minnesota,Communications,40_to_64_years,80154,6578
40_to_64_years_Other,Minnesota,Other,40_to_64_years,70995,3952
Total,Mississippi,Total,Total,54066,1368
25_to_39_years_25_to_39_years,Mississippi,25_to_39_years,25_to_39_years,49578,1483
25_to_39_years_Computers_Mathematics_and_Statistics,Mississippi,Computers_Mathematics_and_Statistics,25_to_39_years,55202,23108
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Mississippi,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,50823,2769
25_to_39_years_Physical_and_Related_Sciences,Mississippi,Physical_and_Related_Sciences,25_to_39_years,31079,5512
25_to_39_years_Psychology,Mississippi,Psychology,25_to_39_years,47792,4402
25_to_39_years_Social_Sciences,Mississippi,Social_Sciences,25_to_39_years,60263,17321
25_to_39_years_Engineering,Mississippi,Engineering,25_to_39_years,69648,9720
25_to_39_years_Multidisciplinary_Studies,Mississippi,Multidisciplinary_Studies,25_to_39_years,52336,3875
25_to_39_years_Science_and_Engineering_Related_Fields,Mississippi,Science_and_Engineering_Related_Fields,25_to_39_years,58068,3485
25_to_39_years_Business,Mississippi,Business,25_to_39_years,54331,3346
25_to_39_years_Education,Mississippi,Education,25_to_39_years,41658,1709
25_to_39_years_Literature_and_Languages,Mississippi,Literature_and_Languages,25_to_39_years,38605,5414
25_to_39_years_Liberal_Arts_and_History,Mississippi,Liberal_Arts_and_History,25_to_39_years,42894,3543
25_to_39_years_Visual_and_Performing_Arts,Mississippi,Visual_and_Performing_Arts,25_to_39_years,38602,3974
25_to_39_years_Communications,Mississippi,Communications,25_to_39_years,44106,8656
25_to_39_years_Other,Mississippi,Other,25_to_39_years,46185,3055
40_to_64_years_40_to_64_years,Mississippi,40_to_64_years,40_to_64_years,59248,2984
40_to_64_years_Computers_Mathematics_and_Statistics,Mississippi,Computers_Mathematics_and_Statistics,40_to_64_years,75218,21386
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Mississippi,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,77095,14761
40_to_64_years_Physical_and_Related_Sciences,Mississippi,Physical_and_Related_Sciences,40_to_64_years,74157,23581
40_to_64_years_Psychology,Mississippi,Psychology,40_to_64_years,47039,6533
40_to_64_years_Social_Sciences,Mississippi,Social_Sciences,40_to_64_years,55511,7208
40_to_64_years_Engineering,Mississippi,Engineering,40_to_64_years,107021,22307
40_to_64_years_Multidisciplinary_Studies,Mississippi,Multidisciplinary_Studies,40_to_64_years,72188,13360
40_to_64_years_Science_and_Engineering_Related_Fields,Mississippi,Science_and_Engineering_Related_Fields,40_to_64_years,70238,5693
40_to_64_years_Business,Mississippi,Business,40_to_64_years,66602,6410
40_to_64_years_Education,Mississippi,Education,40_to_64_years,46428,2581
40_to_64_years_Literature_and_Languages,Mississippi,Literature_and_Languages,40_to_64_years,59583,12143
40_to_64_years_Liberal_Arts_and_History,Mississippi,Liberal_Arts_and_History,40_to_64_years,55418,8604
40_to_64_years_Visual_and_Performing_Arts,Mississippi,Visual_and_Performing_Arts,40_to_64_years,46330,5718
40_to_64_years_Communications,Mississippi,Communications,40_to_64_years,54818,3205
40_to_64_years_Other,Mississippi,Other,40_to_64_years,53203,3633
Total,Missouri,Total,Total,63918,654
25_to_39_years_25_to_39_years,Missouri,25_to_39_years,25_to_39_years,57306,1158
25_to_39_years_Computers_Mathematics_and_Statistics,Missouri,Computers_Mathematics_and_Statistics,25_to_39_years,68872,11940
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Missouri,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,54892,2508
25_to_39_years_Physical_and_Related_Sciences,Missouri,Physical_and_Related_Sciences,25_to_39_years,61788,8160
25_to_39_years_Psychology,Missouri,Psychology,25_to_39_years,45963,4872
25_to_39_years_Social_Sciences,Missouri,Social_Sciences,25_to_39_years,66332,9674
25_to_39_years_Engineering,Missouri,Engineering,25_to_39_years,87539,3124
25_to_39_years_Multidisciplinary_Studies,Missouri,Multidisciplinary_Studies,25_to_39_years,53505,3620
25_to_39_years_Science_and_Engineering_Related_Fields,Missouri,Science_and_Engineering_Related_Fields,25_to_39_years,64102,3554
25_to_39_years_Business,Missouri,Business,25_to_39_years,64798,1744
25_to_39_years_Education,Missouri,Education,25_to_39_years,45143,1510
25_to_39_years_Literature_and_Languages,Missouri,Literature_and_Languages,25_to_39_years,48491,3804
25_to_39_years_Liberal_Arts_and_History,Missouri,Liberal_Arts_and_History,25_to_39_years,46558,5143
25_to_39_years_Visual_and_Performing_Arts,Missouri,Visual_and_Performing_Arts,25_to_39_years,43093,4435
25_to_39_years_Communications,Missouri,Communications,25_to_39_years,58575,3850
25_to_39_years_Other,Missouri,Other,25_to_39_years,50438,2334
40_to_64_years_40_to_64_years,Missouri,40_to_64_years,40_to_64_years,72292,1302
40_to_64_years_Computers_Mathematics_and_Statistics,Missouri,Computers_Mathematics_and_Statistics,40_to_64_years,100610,10072
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Missouri,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,83456,7155
40_to_64_years_Physical_and_Related_Sciences,Missouri,Physical_and_Related_Sciences,40_to_64_years,99871,14693
40_to_64_years_Psychology,Missouri,Psychology,40_to_64_years,62392,4231
40_to_64_years_Social_Sciences,Missouri,Social_Sciences,40_to_64_years,68578,9201
40_to_64_years_Engineering,Missouri,Engineering,40_to_64_years,119629,4401
40_to_64_years_Multidisciplinary_Studies,Missouri,Multidisciplinary_Studies,40_to_64_years,46501,5354
40_to_64_years_Science_and_Engineering_Related_Fields,Missouri,Science_and_Engineering_Related_Fields,40_to_64_years,76849,3888
40_to_64_years_Business,Missouri,Business,40_to_64_years,82391,2580
40_to_64_years_Education,Missouri,Education,40_to_64_years,53351,2172
40_to_64_years_Literature_and_Languages,Missouri,Literature_and_Languages,40_to_64_years,61117,6072
40_to_64_years_Liberal_Arts_and_History,Missouri,Liberal_Arts_and_History,40_to_64_years,58316,6632
40_to_64_years_Visual_and_Performing_Arts,Missouri,Visual_and_Performing_Arts,40_to_64_years,59143,5507
40_to_64_years_Communications,Missouri,Communications,40_to_64_years,64030,5561
40_to_64_years_Other,Missouri,Other,40_to_64_years,63611,4377
Total,Montana,Total,Total,60096,1958
25_to_39_years_25_to_39_years,Montana,25_to_39_years,25_to_39_years,52168,1948
25_to_39_years_Computers_Mathematics_and_Statistics,Montana,Computers_Mathematics_and_Statistics,25_to_39_years,71258,3954
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Montana,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,53263,5970
25_to_39_years_Physical_and_Related_Sciences,Montana,Physical_and_Related_Sciences,25_to_39_years,51551,6610
25_to_39_years_Psychology,Montana,Psychology,25_to_39_years,53521,16411
25_to_39_years_Social_Sciences,Montana,Social_Sciences,25_to_39_years,46685,14265
25_to_39_years_Engineering,Montana,Engineering,25_to_39_years,83894,6346
25_to_39_years_Multidisciplinary_Studies,Montana,Multidisciplinary_Studies,25_to_39_years,41890,68731
25_to_39_years_Science_and_Engineering_Related_Fields,Montana,Science_and_Engineering_Related_Fields,25_to_39_years,60765,8159
25_to_39_years_Business,Montana,Business,25_to_39_years,59493,7020
25_to_39_years_Education,Montana,Education,25_to_39_years,44133,6959
25_to_39_years_Literature_and_Languages,Montana,Literature_and_Languages,25_to_39_years,44672,29647
25_to_39_years_Liberal_Arts_and_History,Montana,Liberal_Arts_and_History,25_to_39_years,46206,3875
25_to_39_years_Visual_and_Performing_Arts,Montana,Visual_and_Performing_Arts,25_to_39_years,37243,12309
25_to_39_years_Communications,Montana,Communications,25_to_39_years,45071,8184
25_to_39_years_Other,Montana,Other,25_to_39_years,44420,12387
40_to_64_years_40_to_64_years,Montana,40_to_64_years,40_to_64_years,66091,3538
40_to_64_years_Computers_Mathematics_and_Statistics,Montana,Computers_Mathematics_and_Statistics,40_to_64_years,93611,25958
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Montana,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,76653,13583
40_to_64_years_Physical_and_Related_Sciences,Montana,Physical_and_Related_Sciences,40_to_64_years,66856,13773
40_to_64_years_Psychology,Montana,Psychology,40_to_64_years,54832,8256
40_to_64_years_Social_Sciences,Montana,Social_Sciences,40_to_64_years,66890,15514
40_to_64_years_Engineering,Montana,Engineering,40_to_64_years,94883,6192
40_to_64_years_Multidisciplinary_Studies,Montana,Multidisciplinary_Studies,40_to_64_years,54524,134712
40_to_64_years_Science_and_Engineering_Related_Fields,Montana,Science_and_Engineering_Related_Fields,40_to_64_years,71858,8765
40_to_64_years_Business,Montana,Business,40_to_64_years,69163,5934
40_to_64_years_Education,Montana,Education,40_to_64_years,52551,5857
40_to_64_years_Literature_and_Languages,Montana,Literature_and_Languages,40_to_64_years,55063,12726
40_to_64_years_Liberal_Arts_and_History,Montana,Liberal_Arts_and_History,40_to_64_years,69988,10977
40_to_64_years_Visual_and_Performing_Arts,Montana,Visual_and_Performing_Arts,40_to_64_years,51158,4882
40_to_64_years_Communications,Montana,Communications,40_to_64_years,61860,22111
40_to_64_years_Other,Montana,Other,40_to_64_years,56987,10218
Total,Nebraska,Total,Total,64905,1200
25_to_39_years_25_to_39_years,Nebraska,25_to_39_years,25_to_39_years,58584,1629
25_to_39_years_Computers_Mathematics_and_Statistics,Nebraska,Computers_Mathematics_and_Statistics,25_to_39_years,69792,16416
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Nebraska,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,59573,4827
25_to_39_years_Physical_and_Related_Sciences,Nebraska,Physical_and_Related_Sciences,25_to_39_years,78485,20008
25_to_39_years_Psychology,Nebraska,Psychology,25_to_39_years,55234,7789
25_to_39_years_Social_Sciences,Nebraska,Social_Sciences,25_to_39_years,50978,9166
25_to_39_years_Engineering,Nebraska,Engineering,25_to_39_years,76820,11640
25_to_39_years_Multidisciplinary_Studies,Nebraska,Multidisciplinary_Studies,25_to_39_years,46227,13367
25_to_39_years_Science_and_Engineering_Related_Fields,Nebraska,Science_and_Engineering_Related_Fields,25_to_39_years,61722,2235
25_to_39_years_Business,Nebraska,Business,25_to_39_years,65130,4615
25_to_39_years_Education,Nebraska,Education,25_to_39_years,50743,1622
